gene_id,SRR8866867,SRR8866869,SRR8866870,SRR8866871,SRR8866872,SRR8866873,SRR8866874,SRR8866875,SRR8866876,SRR8866877,SRR8866878,SRR8866879,SRR8866881
ENSG00000223972.5|DDX11L1,5,9,22,15,74,30,7,3,10,11,4,22,22
ENSG00000237613.2|FAM138A,0,0,8,13,22,6,0,0,2,5,4,4,7
ENSG00000240361.2|OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.6|OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6|AL627309.1,42,66,81,68,47,56,26,13,17,12,20,40,32
ENSG00000241860.6|AL627309.5,123,219,564,122,129,149,108,31,44,29,73,339,181
ENSG00000222623.1|RNU6-1100P,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000241599.1|AL627309.4,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000228463.10|AP006222.1,864,739,205,784,333,1204,293,233,149,282,323,682,322
ENSG00000236601.2|AL732372.1,5,3,2,7,8,20,5,3,2,0,4,6,3
ENSG00000237094.12|AL732372.2,329,327,1284,547,380,166,228,50,103,39,126,454,407
ENSG00000278757.1|RF00026,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10|AL669831.3,84,92,211,149,79,70,46,19,25,22,35,88,94
ENSG00000235146.2|AC114498.1,0,0,0,0,0,4,0,0,0,0,0,0,0
ENSG00000278791.1|MIR6723,0,1,1,0,0,0,0,1,0,0,0,0,1
ENSG00000223181.1|RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1|AL669831.2,0,0,2,0,0,0,0,0,0,0,0,1,0
ENSG00000237491.8|AL669831.5,337,248,621,517,341,526,185,139,74,155,218,343,279
ENSG00000228794.8|LINC01128,3084,6471,5135,5101,2295,4354,1095,741,440,539,1203,3877,1449
ENSG00000230368.2|FAM41C,20,31,33,14,3,28,24,3,0,3,2,24,18
ENSG00000283040.1|AL669831.6,0,0,2,0,0,0,4,0,0,0,0,0,0
ENSG00000272438.1|AL645608.6,0,0,15,0,0,10,0,0,0,4,8,0,0
ENSG00000241180.1|AL645608.4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223764.2|LINC02593,109,107,268,215,397,130,35,48,33,37,93,111,74
ENSG00000187634.11|SAMD11,121,66,210,517,837,237,68,72,67,197,41,295,305
ENSG00000187583.10|PLEKHN1,3,0,27,12,13,15,6,0,8,0,4,3,10
ENSG00000187642.9|PERM1,16,27,43,0,37,79,0,10,13,7,7,56,10
ENSG00000187608.9|ISG15,593,1287,2199,1745,2433,3220,439,503,386,486,582,1836,1316
ENSG00000231702.2|AL645608.3,0,6,0,14,0,8,1,5,0,3,2,3,2
ENSG00000242590.1|AL645608.5,0,1,1,1,1,1,0,0,0,0,1,1,1
ENSG00000217801.9|AL390719.1,236,459,357,397,527,594,165,147,46,268,367,818,344
ENSG00000237330.2|RNF223,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131591.17|C1orf159,1329,1585,3797,2593,2929,4064,649,657,289,756,876,2461,1298
ENSG00000223823.1|LINC01342,0,0,0,0,0,0,0,0,0,11,0,0,0
ENSG00000207730.3|MIR200B,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000207607.3|MIR200A,0,0,0,4,0,0,0,0,0,0,0,0,0
ENSG00000198976.1|MIR429,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000272141.1|AL390719.2,0,0,7,4,0,0,0,0,0,0,0,0,0
ENSG00000205231.1|TTLL10-AS1,0,0,0,165,0,0,0,0,0,0,0,0,0
ENSG00000162571.13|TTLL10,0,0,43,361,0,0,0,0,0,0,0,0,0
ENSG00000186891.13|TNFRSF18,108,141,178,37,25,254,31,76,17,75,99,268,22
ENSG00000186827.10|TNFRSF4,63,65,119,33,28,340,24,51,22,63,77,163,48
ENSG00000078808.16|SDF4,4201,7532,11948,10600,12782,12633,3308,3052,1290,3518,3946,12877,12320
ENSG00000227232.5|WASH7P,1228,1169,3134,1936,2526,2532,622,522,307,484,734,2130,1536
ENSG00000278267.1|MIR6859-1,48,37,169,44,100,146,30,31,22,22,40,95,66
ENSG00000243485.5|MIR1302-2HG,12,55,73,74,76,36,15,5,6,9,12,44,28
ENSG00000284332.1|MIR1302-2,1,1,1,1,1,1,1,0,1,1,1,1,1
ENSG00000268020.3|OR4G4P,2,0,1,2,0,0,0,0,0,0,0,0,0
ENSG00000239945.1|AL627309.3,3,3,0,6,0,8,0,1,2,0,1,3,0
ENSG00000233750.3|CICP27,19,19,26,33,17,27,10,7,20,10,12,28,30
ENSG00000268903.1|AL627309.6,213,203,613,152,840,461,86,119,65,128,200,599,426
ENSG00000269981.1|AL627309.7,67,82,180,32,212,78,27,17,29,21,60,163,132
ENSG00000239906.1|AL627309.2,7,9,50,9,17,7,5,1,1,1,6,18,11
ENSG00000279928.2|FO538757.2,18,7,14,12,25,24,6,0,8,8,4,21,14
ENSG00000279457.4|FO538757.1,1881,1892,5353,3500,5053,5750,915,1165,575,1359,1412,3987,2918
ENSG00000273874.1|MIR6859-2,18,19,103,31,63,82,14,20,12,16,20,55,40
ENSG00000236679.2|RPL23AP24,3,16,26,10,19,35,7,6,4,7,9,8,17
ENSG00000269732.1|WBP1LP7,1,0,1,0,0,0,1,0,1,0,0,0,0
ENSG00000284733.1|OR4F29,4,1,1,1,2,4,4,2,0,0,1,2,3
ENSG00000233653.3|CICP7,7,5,25,22,13,7,7,2,6,4,3,11,10
ENSG00000250575.1|AL732372.3,211,254,1130,267,806,476,150,132,71,117,213,681,387
ENSG00000225972.1|MTND1P23,1590,10886,24414,25168,63234,26471,1889,7342,6119,4949,2137,27756,64385
ENSG00000225630.1|MTND2P28,41099,106946,234594,332631,331227,152613,41065,61434,101172,21135,28389,177348,539572
ENSG00000237973.1|MTCO1P12,122352,295457,517136,281367,662144,424503,64341,154180,204593,59283,67284,388053,657246
ENSG00000229344.1|MTCO2P12,382,4704,7772,8372,13861,7003,1213,2707,2352,1022,1121,7620,15160
ENSG00000240409.1|MTATP8P1,27,77,133,179,217,153,50,119,93,21,28,125,329
ENSG00000248527.1|MTATP6P1,95164,148666,234992,364071,562186,310301,64108,109213,125027,43456,49361,245271,593353
ENSG00000198744.5|MTCO3P12,311,8332,14928,13721,11027,10070,1580,3543,3018,1033,1139,8625,12556
ENSG00000268663.1|WBP1LP6,1,0,1,0,0,0,1,0,1,0,0,0,0
ENSG00000284662.1|OR4F16,4,1,1,1,2,5,4,2,0,0,1,2,3
ENSG00000229376.3|CICP3,21,21,31,53,35,11,19,2,9,5,5,10,26
ENSG00000228327.3|AL669831.1,820,876,3673,1080,1578,1096,602,274,248,236,505,1682,1086
ENSG00000285268.1|AL669831.7,1,1,1,1,0,1,1,1,1,0,1,1,0
ENSG00000230092.7|AL669831.4,16,47,54,51,16,16,17,5,5,7,5,8,10
ENSG00000177757.2|FAM87B,16,31,87,68,11,20,7,0,10,4,3,62,35
ENSG00000225880.5|LINC00115,91,87,252,241,202,193,76,68,50,70,80,317,280
ENSG00000234711.1|TUBB8P11,11,11,0,7,4,2,17,8,5,4,1,15,8
ENSG00000230699.2|AL645608.2,6,80,20,45,33,36,21,7,0,16,21,26,19
ENSG00000188976.10|NOC2L,4589,8197,9192,8189,7937,11419,2641,2043,984,3110,3100,9408,5472
ENSG00000187961.13|KLHL17,656,1110,1313,1251,1205,1901,419,352,341,607,499,2519,2222
