"gene"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"DDX11L1"	-0.173599365703572	0.212811256420244	0.114410494592731	0.735177659756932	0.901404586180294
"AL627309.1"	0.228324478150219	-1.4419777834457	0.135402528564227	0.712894988029931	0.898275663319684
"AL627309.5"	0.108649656621007	-0.466426307984629	0.0329303299566099	0.856000908143375	0.914125991948847
"AP006222.1"	-0.339792458841921	3.77521710374501	0.927403209837363	0.335538609703094	0.791644318781034
"AL732372.2"	0.0203468413553323	5.714242328105	0.00456063751476421	0.946157795953088	0.920691246655225
"AL669831.3"	-0.224455698641145	3.51974206819894	0.408757709981911	0.522600717048073	0.861439504242144
"AL669831.5"	-0.00631935390260567	-0.299192090425526	0.000134959244035393	0.99073102712227	0.925013281384902
"LINC01128"	-0.384545938413186	-0.30518254670383	0.45921873867374	0.497989323168465	0.855118636427296
"WASH7P"	0.0699478965621168	6.16200574942645	0.0517021631782058	0.820127417929054	0.909779455936891
"MIR6859-1"	0.0417864510016422	-0.401235185948007	0.00580934073110839	0.939244841948588	0.919676126671694
"CICP27"	0.550771583214596	-1.34562716946714	0.783689617036527	0.376015093723442	0.811327225545405
"AL627309.6"	0.209840680083542	1.86137866770728	0.241134716034781	0.623387761676409	0.884740164272893
"AL627309.7"	0.39326920655762	1.20679218330307	0.755172248672801	0.384843590734185	0.815411274530055
"FO538757.2"	-0.606939617284939	0.355710462771728	1.28971467726565	0.256100538656674	0.743083310916645
"FO538757.1"	0.0601680332902616	6.37656101074147	0.036910919752053	0.847646526472615	0.913380119459568
"MIR6859-2"	0.00938594926560157	-1.10915307863135	0.000264864993942737	0.987015262573147	0.924663453469824
"RPL23AP24"	-0.0616094775709711	2.53323169818128	0.0243907585714123	0.875894759155596	0.916213930951451
"OR4F29"	0.0473401566819438	1.63072707459294	0.011724114205057	0.913775214039128	0.91936796352399
"CICP7"	0.516119062441542	-2.22508303581621	0.582545441177866	0.445316315324928	0.837376176217195
"AL732372.3"	0.0438526441635974	2.80585652386923	0.0129847763987065	0.90927682451076	0.91936796352399
"MTND1P23"	0.204988841090474	0.962454245873166	0.190762459629996	0.662282785248186	0.893064983472895
"MTND2P28"	0.306076623696068	3.30459255057864	0.72401984879658	0.394828483116939	0.819146420249467
"MTCO1P12"	-0.171449835510468	3.83084925337372	0.24526071041627	0.620432105863139	0.884646648939113
