Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Parkinson Disease	C0030567	SNCA	6622	P37840	synuclein alpha	Transporter	449	0.427	0.885	0.8829	0.7		0.983	2577	53	1997.0	2020.0
Parkinson Disease	C0030567	PARK7	11315	Q99497	Parkinsonism associated deglycase	Enzyme	161	0.535	0.808	0.75335	0.6		0.973	110	8	2003.0	2020.0
Parkinson Disease	C0030567	DDC	1644	P20711	dopa decarboxylase		164	0.535	0.769	3.7519e-08	0.6		1.0	28	0	1988.0	2019.0
Parkinson Disease	C0030567	DRD2	1813	P14416	dopamine receptor D2	G-protein coupled receptor	437	0.436	0.846	0.74709	0.6		0.931	58	3	1995.0	2020.0
Parkinson Disease	C0030567	ATP13A2	23400	Q9NQ11	ATPase cation transporting 13A2		160	0.566	0.577	8.9582e-09	0.6	strong	0.946	56	4	2007.0	2019.0
Parkinson Disease	C0030567	MAOB	4129	P27338	monoamine oxidase B		152	0.533	0.808	0.99903	0.6		0.991	110	1	1993.0	2020.0
Parkinson Disease	C0030567	PRKN	5071	O60260	parkin RBR E3 ubiquitin protein ligase	Enzyme	409	0.431	0.846	6.9346e-07	0.6		0.974	304	20	1998.0	2020.0
Parkinson Disease	C0030567	PINK1	65018	Q9BXM7	PTEN induced kinase 1	Kinase	209	0.516	0.769	1.8749e-10	0.6		0.987	376	12	2002.0	2020.0
Parkinson Disease	C0030567	SLC18A2	6571	Q05940	solute carrier family 18 member A2	Transporter	150	0.554	0.769	0.075523	0.6		0.966	29	1	1996.0	2020.0
Parkinson Disease	C0030567	TH	7054	P07101	tyrosine hydroxylase		321	0.462	0.885	1.6878e-06	0.6		0.979	141	3	1989.0	2020.0
Parkinson Disease	C0030567	DRD1	1812	P21728	dopamine receptor D1	G-protein coupled receptor	181	0.529	0.808	0.9555	0.57		1.0	10	0	1996.0	2020.0
Parkinson Disease	C0030567	IGF1R	3480	P08069	insulin like growth factor 1 receptor	Kinase	556	0.399	0.885	0.96799	0.51		1.0	3	0	2009.0	2019.0
Parkinson Disease	C0030567	LRRK2	120892	Q5S007	leucine rich repeat kinase 2	Kinase	231	0.51	0.808	2.5757e-30	0.5		0.983	987	35	2002.0	2020.0
Parkinson Disease	C0030567	GAK	2580	O14976	cyclin G associated kinase	Kinase	13	0.805	0.231	0.0051818	0.5		1.0	18	4	2009.0	2020.0
Parkinson Disease	C0030567	GBA	2629	P04062	glucosylceramidase beta		319	0.5	0.808	1.4355e-06	0.5		0.989	264	15	2004.0	2020.0
Parkinson Disease	C0030567	MAPT	4137	P10636	microtubule associated protein tau		469	0.446	0.923	0.0060258	0.5		0.972	142	40	1999.0	2019.0
Parkinson Disease	C0030567	BST1	683	Q10588	bone marrow stromal cell antigen 1	Enzyme	41	0.67	0.423	4.2099e-11	0.5		0.92	25	8	2009.0	2019.0
Parkinson Disease	C0030567	HLA-DRA	3122	P01903	major histocompatibility complex, class II, DR alpha	Immune response	92	0.581	0.769	0.51949	0.48		1.0	10	1	2010.0	2015.0
Parkinson Disease	C0030567	PARK16	100359403		Parkinson disease 16 (susceptibility)		5	0.861	0.077		0.4		0.963	27	0	2009.0	2019.0
Parkinson Disease	C0030567	DNM1L	10059	O00429	dynamin 1 like	Enzyme modulator	273	0.475	0.808	0.00056753	0.4		1.0	20	1	2010.0	2020.0
Parkinson Disease	C0030567	PPARGC1A	10891	Q9UBK2	PPARG coactivator 1 alpha	Transcription factor	350	0.453	0.885	0.9973	0.4		0.857	21	3	2009.0	2019.0
Parkinson Disease	C0030567	CP	1356	P00450	ceruloplasmin	Enzyme	283	0.466	0.846	4.2013e-10	0.4		0.938	16	0	2004.0	2020.0
Parkinson Disease	C0030567	CYP2D6	1565	P10635	cytochrome P450 family 2 subfamily D member 6		432	0.437	0.885	1.0793e-25	0.4		0.879	58	0	1992.0	2019.0
Parkinson Disease	C0030567	GDNF	2668	P39905	glial cell derived neurotrophic factor	Signaling	409	0.434	0.885	0.2035	0.4		0.983	117	0	1993.0	2020.0
Parkinson Disease	C0030567	GFAP	2670	P14136	glial fibrillary acidic protein		447	0.421	0.885	1.4601e-06	0.4		1.0	16	0	1999.0	2020.0
Parkinson Disease	C0030567	TMEM230	29058	Q96A57	transmembrane protein 230		15	0.769	0.115	0.00018056	0.4		0.923	13	2	2016.0	2018.0
Parkinson Disease	C0030567	GSTM1	2944	P09488	glutathione S-transferase mu 1		627	0.38	0.923	0.0020641	0.4		0.75	20	0	1999.0	2019.0
